time,MT_001,MT_002,MT_003,MT_004,MT_005,MT_006,MT_007,MT_008,MT_009,MT_010,MT_011,MT_012,MT_013,MT_014,MT_015,MT_016,MT_017,MT_018,MT_019,MT_020
08/11/2022 00:00:00,95372.923384,95831.332444,94004.721403,91739.312272,88636.14112,84566.061194,79985.916605,74927.870262,69809.371752,67791.188576,66798.070381,66838.883902,65603.110915,67272.434977,72617.412219,78495.106279,83598.899032,87738.290951,90915.932314,93232.52679
08/12/2022 00:00:00,95359.218641,95820.904652,93991.463093,91731.281371,88633.773782,84565.392773,79986.270326,74926.761434,69807.829909,67770.938089,66783.60599,66829.559376,65590.189706,67279.062166,72624.415797,78494.732026,83593.030394,87725.658853,90901.475851,93220.561946
08/13/2022 00:00:00,95345.513958,95810.490915,93978.205044,91723.24287,88631.405902,84564.777609,79986.624581,74925.650622,69806.249946,67750.690612,66769.154276,66820.62925,65577.132162,67285.83209,72631.413357,78494.359951,83587.164469,87713.028817,90887.019574,93208.597443
08/14/2022 00:00:00,95331.809334,95800.091347,93964.947258,91715.196764,88629.037478,84564.167249,79986.979373,74924.537828,69804.631923,67730.446148,66754.71525,66811.883523,65563.936871,67292.74534,72638.40483,78493.97874,83581.301254,87700.400842,90872.563482,93196.633281
08/15/2022 00:00:00,95318.10477,95789.706067,93951.689732,91707.143046,88626.66851,84563.561695,79987.334702,74923.423048,69802.975896,67710.204698,66740.288923,66803.204565,65550.602402,67299.802513,72645.390146,78493.601666,83575.440747,87687.774927,90858.107577,93184.669462
08/16/2022 00:00:00,95304.400265,95779.335193,93938.432469,91699.081712,88624.298997,84562.960947,79987.690571,74922.306283,69801.281926,67689.966266,66726.041341,66794.592442,65537.127304,67307.00421,72652.369234,78493.22872,83569.582945,87675.151071,90843.651859,93172.705985
08/17/2022 00:00:00,95290.69582,95768.978846,93925.175468,91691.012754,88621.928937,84562.365003,79988.046982,74921.187532,69799.55007,67669.730854,66711.843732,66786.047225,65523.510106,67314.351036,72659.342026,78492.859893,83563.727846,87662.529271,90829.196328,93160.74285
08/18/2022 00:00:00,95276.991434,95758.637145,93911.918729,91682.936167,88619.558329,84561.773865,79988.403936,74920.066794,69797.780387,67649.498464,66697.653492,66777.568981,65509.749317,67321.428822,72666.308452,78492.495175,83557.875448,87649.909527,90814.740986,93148.780058
08/19/2022 00:00:00,95263.287108,95748.310214,93898.662252,91674.851945,88617.187173,84561.187531,79988.761435,74918.944067,69795.972936,67629.269101,66683.470631,66769.15778,65495.843423,67328.633419,72673.268441,78492.134557,83552.025748,87637.291838,90800.285833,93136.817608
08/20/2022 00:00:00,95249.582841,95737.998176,93885.406037,91666.760083,88614.815468,84560.606004,79989.119481,74917.819351,69794.127777,67609.042765,66669.295157,66760.813691,65481.790893,67335.974164,72680.221924,78491.77803,83546.178743,87624.676201,90785.83087,93124.855501
08/21/2022 00:00:00,95235.878634,95727.701157,93872.150085,91658.660574,88612.443212,84560.029281,79989.478076,74916.693473,69792.244967,67588.819461,66655.127078,66752.536781,65467.590169,67343.451583,72687.16883,78491.425067,83540.334432,87612.062616,90771.376096,93112.893736
08/22/2022 00:00:00,95222.174487,95717.419284,93858.894396,91650.553412,88610.070404,84559.457364,79989.837222,74915.574373,69790.324566,67568.59919,66640.966404,66744.327121,65453.239676,67351.066208,72694.109091,78491.073233,83534.492811,87599.45108,90756.921514,93100.932315
08/23/2022 00:00:00,95208.4704,95707.152685,93845.638969,91642.438592,88607.697044,84558.890253,79990.19692,74914.452927,69788.366632,67548.381955,66626.813143,66736.18478,65438.737812,67358.938676,72701.042636,78490.725646,83528.653879,87586.775985,90742.467123,93088.971236
08/24/2022 00:00:00,95194.766372,95696.901489,93832.383804,91634.316108,88605.32313,84558.327947,79990.557173,74913.329139,69786.371226,67528.167758,66612.667304,66728.109827,65424.082957,67367.154447,72707.969394,78490.382293,83522.817632,87574.092983,90728.012924,93077.010501
08/25/2022 00:00:00,95181.062404,95686.665828,93819.128903,91626.185954,88602.948662,84557.770447,79990.917982,74912.20301,69784.338405,67507.956604,66598.528895,66720.102332,65409.273463,67375.505066,72715.039858,78490.04316,83516.984069,87561.410531,90713.558918,93065.050109
08/26/2022 00:00:00,95167.358496,95676.445833,93805.874265,91618.048123,88600.573638,84557.217753,79991.279349,74911.074545,69782.268229,67487.748493,66584.397926,66712.162363,65394.307662,67383.99087,72722.14763,78489.708234,83511.153185,87548.728621,90699.105105,93053.090061
08/27/2022 00:00:00,95153.654647,95666.24164,93792.619889,91609.902611,88598.198056,84556.669864,79991.641277,74909.943744,69780.160758,67467.543429,66570.274404,66704.289991,65379.18386,67392.612198,72729.243153,78489.377502,83505.32498,87536.047249,90684.651487,93041.130356
08/28/2022 00:00:00,95139.950859,95656.053384,93779.365777,91601.74941,88595.821918,84556.126782,79992.003767,74908.810611,69778.01605,67447.341415,66556.158339,66696.485285,65363.90034,67401.369391,72736.326328,78489.05095,83499.49945,87523.366408,90670.198063,93029.170995
08/29/2022 00:00:00,95126.24713,95645.881201,93766.111928,91593.588516,88593.44522,84555.588505,79992.366821,74907.675149,69775.834165,67427.142453,66542.049741,66688.748316,65348.746024,67410.262792,72743.397056,78488.728564,83493.676593,87510.686093,90655.744834,93017.211978
08/30/2022 00:00:00,95112.543461,95635.725232,93752.858343,91585.419922,88591.067962,84555.055035,79992.730441,74906.537359,69773.615162,67406.946546,66527.948616,66681.079152,65333.476269,67419.292748,72750.455236,78488.410333,83487.856406,87498.006297,90641.291801,93005.253304
08/31/2022 00:00:00,95098.839852,95625.585615,93739.605021,91577.243623,88588.690143,84554.526371,79993.094628,74905.397245,69771.3591,67386.753696,66513.854975,66673.477865,65318.050166,67428.459604,72757.50077,78488.096241,83482.038886,87485.327014,90626.838964,92993.294975
09/01/2022 00:00:00,95085.136303,95615.462493,93726.351963,91569.059611,88586.311763,84554.002513,79993.459386,74904.25481,69769.090142,67366.563907,66499.768826,66665.944523,65302.466006,67437.763712,72764.533558,78487.786277,83476.224031,87472.648239,90612.386325,92981.33699
09/02/2022 00:00:00,95071.432814,95605.35601,93713.099169,91560.867882,88583.932819,84553.483462,79993.824716,74903.110055,69766.788593,67346.37718,66485.690178,66658.479198,65286.722056,67447.205424,72771.5535,78487.480427,83470.411838,87459.969966,90597.933883,92969.37935
09/03/2022 00:00:00,95057.729385,95595.266312,93699.846638,91552.66843,88581.553311,84552.969217,79994.190619,74901.962984,69764.449113,67326.19352,66471.619039,66651.081959,65270.816557,67456.785093,72778.560498,78487.178678,83464.602305,87447.292188,90583.48164,92957.422054
09/04/2022 00:00:00,95044.026016,95585.193544,93686.594372,91544.461248,88579.080278,84552.459779,79994.557099,74900.8136,69762.224931,67306.012927,66457.55542,66643.752878,65254.747725,67466.47554,72785.554452,78486.881017,83458.795427,87434.614899,90569.029596,92945.465102
09/05/2022 00:00:00,95030.322707,95575.137856,93673.342369,91536.246331,88576.5065,84551.955147,79994.924156,74899.661904,69760.080764,67285.835406,66443.499328,66636.492024,65238.513749,67475.138421,72792.535262,78486.587432,83452.991204,87421.938094,90554.577752,92933.508496
09/06/2022 00:00:00,95016.619458,95565.099398,93660.090631,91528.023672,88573.928819,84551.455323,79995.291793,74898.5079,69757.90243,67265.660958,66429.450772,66629.299468,65222.112791,67483.915517,72799.502829,78486.297909,83447.189631,87409.261765,90540.126108,92921.552234
09/07/2022 00:00:00,95002.916269,95555.078322,93646.839157,91519.793266,88571.34723,84550.960306,79995.660012,74897.35159,69755.689973,67245.489587,66415.409763,66620.188479,65205.542987,67492.807033,72806.457053,78486.012435,83441.390707,87396.585908,90525.674665,92909.596318
09/08/2022 00:00:00,94989.21314,95545.074784,93633.587947,91511.517441,88568.761725,84550.470096,79996.028816,74896.192976,69753.443439,67225.321294,66401.376307,66610.929738,65188.813416,67502.102934,72813.397835,78485.730999,83435.594428,87383.910515,90511.223423,92897.640746
09/09/2022 00:00:00,94975.510071,95535.088937,93620.337003,91503.227508,88566.172298,84549.984693,79996.398205,74895.032063,69751.162874,67205.156084,66387.350415,66601.703395,65172.054785,67512.066231,72820.325075,78485.453586,83429.800791,87371.235581,90496.772384,92885.68552
09/10/2022 00:00:00,94961.807063,95525.120941,93607.086322,91494.929127,88563.578943,84549.504098,79996.768182,74893.868852,69748.848323,67184.993958,66373.332095,66592.542184,65155.117823,67522.117065,72827.238674,78485.169161,83424.009794,87358.561099,90482.321548,92873.730639
09/11/2022 00:00:00,94948.104114,95515.170955,93593.835907,91486.622291,88560.981653,84549.028311,79997.138749,74892.703345,69746.499832,67164.83492,66359.321357,66583.895156,65138.000462,67532.255396,72834.138533,78484.86947,83418.221433,87345.887063,90467.870915,92861.776104
09/12/2022 00:00:00,94934.401226,95505.23914,93580.585756,91478.39687,88558.380422,84548.557332,79997.509909,74891.535547,69744.117446,67144.678971,66345.318209,66575.260511,65120.700605,67542.481185,72841.024551,78484.574246,83412.435707,87333.213467,90453.420487,92849.821915
09/13/2022 00:00:00,94920.698398,95495.32566,93567.33587,91470.16511,88555.775243,84548.091161,79997.881663,74890.365458,69741.701212,67124.526115,66331.32266,66566.638282,65103.216119,67552.794392,72847.89663,78484.283495,83406.652611,87320.540304,90438.970263,92837.868072
09/14/2022 00:00:00,94906.995631,95485.43068,93554.08625,91461.92101,88553.16611,84547.629797,79998.254014,74889.193083,69739.251175,67104.376355,66317.334719,66558.028499,65087.682026,67563.19498,72854.754669,78483.997224,83400.872143,87307.867567,90424.520245,92825.914574
09/15/2022 00:00:00,94893.292923,95475.554368,93540.836895,91453.664565,88550.553016,84547.173243,79998.626963,74888.018423,69736.767382,67084.229693,66303.354396,66549.431196,65072.294146,67573.682912,72861.59857,78483.71544,83395.0943,87295.195252,90410.070432,92813.961423
09/16/2022 00:00:00,94879.590276,95465.696894,93527.587805,91445.395774,88547.935954,84546.721497,79999.000513,74886.841482,69734.249878,67064.086132,66289.3817,66540.846404,65056.775402,67584.258149,72868.428232,78483.431551,83389.319079,87282.52335,90395.620827,92802.008618
09/17/2022 00:00:00,94865.88769,95455.858428,93514.33898,91437.114632,88545.314919,84546.274559,79999.374665,74885.662263,69731.69871,67043.945674,66275.416639,66532.274155,65041.124372,67594.920656,72875.243556,78483.150706,83383.546477,87269.851857,90381.171429,92790.056159
09/18/2022 00:00:00,94852.185163,95446.039144,93501.090421,91428.821135,88542.689902,84545.832431,79999.749423,74884.480767,69729.113923,67023.808323,66261.459222,66523.714481,65025.339614,67605.670397,72882.044443,78482.875031,83377.776491,87257.180764,90366.722239,92778.104047
09/19/2022 00:00:00,94838.482698,95436.239218,93487.842128,91420.515282,88540.060899,84545.395112,80000.124788,74883.296998,69726.495565,67003.67408,66247.50946,66515.167416,65009.419663,67616.507336,72888.830792,78482.604511,83372.009117,87244.510066,90352.273258,92766.152281
09/20/2022 00:00:00,94824.780292,95426.458829,93474.5941,91412.197067,88537.427902,84544.962602,80000.500762,74882.110958,69723.84368,66983.54295,66233.56736,66506.632991,64993.363033,67627.431438,72895.602505,78482.33913,83366.244353,87231.839756,90337.824486,92754.200862
09/21/2022 00:00:00,94811.077947,95416.698155,93461.346339,91403.866488,88534.790905,84544.534902,80000.877347,74880.92265,69721.158317,66963.414934,66219.632932,66498.111239,64977.168218,67638.442669,72902.359481,78482.078874,83360.482196,87219.169828,90323.375925,92742.249791
09/22/2022 00:00:00,94797.375663,95406.95738,93448.098843,91395.523541,88532.149901,84544.112012,80001.254547,74879.732078,69718.43952,66943.290036,66205.706185,66489.602193,64961.033765,67649.035084,72909.101621,78481.823727,83354.722642,87206.500275,90308.927574,92730.299066
09/23/2022 00:00:00,94783.673439,95397.236688,93434.851614,91387.168223,88529.504883,84543.693932,80001.632362,74878.539243,69715.687337,66923.168257,66191.787129,66481.105886,64945.122926,67659.279414,72915.828826,78481.573675,83348.965688,87193.831089,90294.479434,92718.348688
09/24/2022 00:00:00,94769.971275,95387.536265,93421.604651,91378.800531,88526.855845,84543.280662,80002.010796,74877.344148,69712.901815,66903.049601,66177.875772,66472.622351,64929.047489,67670.236155,72922.540996,78481.328704,83343.211332,87181.162266,90280.031506,92706.398658
09/25/2022 00:00:00,94756.269172,95377.856302,93408.357954,91370.42046,88524.20278,84542.872203,80002.389849,74876.146797,69710.082999,66882.934071,66163.972124,66464.151621,64912.805389,67681.59685,72929.238031,78481.088797,83337.459569,87168.493797,90265.583791,92694.448975
09/26/2022 00:00:00,94742.56713,95368.196989,93395.111523,91362.028008,88521.545682,84542.468554,80002.769526,74874.947191,69707.230936,66862.82167,66150.076193,66455.693729,64896.394523,67692.97593,72935.919831,78480.853941,83331.710397,87155.825676,90251.136289,92682.49964
09/27/2022 00:00:00,94728.865148,95358.55852,93381.865359,91353.623171,88518.884543,84542.069716,80003.149828,74873.745335,69704.345674,66842.712399,66136.18799,66447.248708,64879.812757,67704.373377,72942.586298,78480.624121,83325.963812,87143.157897,90236.689001,92670.550652
09/28/2022 00:00:00,94715.163227,95348.941093,93368.619462,91345.205946,88516.219357,84541.67569,80003.530756,74872.54123,69701.427259,66822.606262,66122.307523,66438.816592,64863.331061,67715.789171,72949.237331,78480.399323,83320.219812,87130.490453,90222.241928,92658.602013
