,MT_001,MT_002,MT_003,MT_004,MT_005,MT_006,MT_007,MT_008,MT_009,MT_010,MT_011,MT_012,MT_013,MT_014,MT_015,MT_016,MT_017,MT_018,MT_019,MT_020
50,96534.80397566665,96723.32358166667,95081.85600500001,92275.61860866666,88729.95195566665,84614.64320166667,79949.670989,75041.20441433333,69855.43157333334,69267.274599,67675.58668233333,67214.46165900001,66181.41428600001,67535.11096466666,72105.69604866666,78550.52339633333,84116.27437233333,88807.15283733333,92123.71590766667,94245.862281
51,96542.27035066666,96731.63968433334,95092.00081733333,92284.42346100001,88736.11352966668,84616.79896833333,79949.869169,75041.04322333333,69856.967901,69291.10005333333,67706.69842266667,67251.10110633336,66199.44695633334,67528.34019633332,72101.067774,78551.29084366666,84120.22146866667,88815.39448900001,92133.16182533333,94253.17266233334
52,96549.73674233333,96739.95502966666,95102.14751433332,92293.22936433333,88742.275787,84618.95504833333,79950.06775066665,75040.87828599999,69858.48537533333,69314.91891466668,67737.765058,67287.98627833335,66218.72563266667,67521.65824,72096.41724533333,78552.065041,84124.16588233334,88823.63971999999,92142.616074,94260.48316366668
53,96557.20315100001,96748.26962033333,95112.296088,92302.036318,88748.438728,84621.11144166665,79950.26673366666,75040.70962633334,69859.970536,69338.73118666669,67768.78671,67324.49075833334,66240.128609,67515.06525933334,72091.74456566667,78552.84603366668,84128.107609,88831.88853,92152.078667,94267.79378533334
54,96564.66957666667,96756.58345899999,95122.44652966666,92310.84432166668,88754.60235266667,84623.268148,79950.46611699999,75040.537268,69861.42346966667,69362.53687300002,67799.763501,67359.95757933335,66263.70372500001,67508.56141800001,72087.04983833333,78553.63386766666,84132.04664533334,88840.14091866666,92161.549617,94275.104527
55,96572.13601966668,96764.89654833333,95132.59883166668,92319.65337466665,88760.76666033333,84625.42516766668,79950.66590033333,75040.36123466666,69862.84426366666,69386.33597700001,67830.695552,67394.35022100002,66288.55997033334,67502.14688233334,72082.33316633334,78554.428589,84135.99021666666,88848.39688599999,92171.02893733332,94282.41538900002
56,96579.60247966666,96773.20889133333,95142.75298566667,92328.46347633335,88766.93165099999,84627.58250033333,79950.86608266667,75040.18154966667,69864.23300466666,69410.12850266666,67861.58298433333,67428.26884666667,66313.87567266666,67495.82181866666,72077.59465333332,78555.23024333334,84139.94416900001,88856.65643133334,92180.51664066665,94289.726371
57,96587.06895666667,96781.52049066666,95152.90898433333,92337.27462633332,88773.09732433334,84629.74014633334,79951.06666366667,75039.998236,69865.58977899999,69433.91445333333,67892.42591766667,67462.25994566666,66339.65589633334,67489.586395,72072.834403,78556.038877,84143.90854433335,88864.91955466667,92190.01273999999,94297.037473
58,96594.53545033334,96789.831349,95163.06681933334,92346.08682433334,88779.26368066667,84631.89810566667,79951.26764233333,75039.81035566668,69866.91467333333,69457.69383333334,67923.22447233333,67496.32333400002,66365.90578033334,67483.44078,72068.05251966666,78556.841315,84147.876154,88873.18625533332,92199.51724833333,94304.348695
59,96602.00196099999,96798.14146866667,95173.22648266668,92354.90006966668,88785.43071966666,84634.05637833332,79951.469018,75039.61470866666,69868.51305733334,69481.466646,67953.97876766666,67530.45882866668,66392.630541,67477.385144,72063.24910733332,78557.63551933334,84151.84118633333,88881.45653333333,92209.03017866668,94311.66003700001
